Unnamed: 0,Product_name,Price,Rate,Review,Summary
0,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,5.0,Simply awesome,"it's really worth every single penny. it works like one ton AC provided that your room has proper ventilation.  I generally keep cooler near to window so that it can pull fresh air from outside and as a result I get very cool air. one more suggestion,  please don't buy cooler which are equipped with a blower fan. Always go for the cooler equipped with metal fan like this one.  In one word, this Compton cooler is Amazing. if you find the review helpful, please thumps up. Happy summer! ????"
3,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,5.0,Fabulous!,Delivery was delayed by two days except this everything is quite fine.safely packed.air flow is good run silently even on full (3) speedice chamber is pretty good and instantly starts giving cool air after putting ice in it.connecting wire is kind of short length.A foul smell comes for the first time you put water in it.but it ended within 3-4 hrs.moving wheels are quite reliablewheel lock works good.
6,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,5.0,Terrific purchase,"A great cooler in great price. Compact and Great design , body is made of good plastic and the cooling effect this cooler is too good even on a slowest fan speed ut gives best result...Recommended to all.Also one thing I need to mentioned is the delivery man great guy helps me a lot to get this product :-)"
9,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,5.0,Its not a cooler its Ac cooler,Its been 6 days that i am using this cooler we have 15*15 room after buying this cooler what i love is it has strong solid body so dont worry that it get broken easily you can fill water from front and back and give very cool air .. my room feel like its december in april i have to use extra blanket in night while sleeping ..it has capacity of 75 litre water which last for 2 days but i love to run cooler on pump for 1 hour it cool the whole room then only air mode .. and it gives awesome cool...
12,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,1.0,Don't waste your money,"Water pump is not throwing a lot of water, that's why it's throwing warm air. Not satisfied with this kind of pump quality. I have paid a lot for this, not worth the money. There is no work of ice chamber. I need a partial refund."
15,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,3.0,Nice,"Very bad ever packageing by Flipkart I have seen when I open its outer layer it's been already open looks like used product, air throw quality is not good as expected it's water meter is very top of its water tank if you want to see it's minimum level of water then u have to fill atlest 50 liter of water . No any support of up and down its air wing and it's not cover very much area ,, overall just ok not very satisfied"
18,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,4.0,Value-for-money,"Crompton offers this range of coolers (ozone) with multiple capacity of water tank, though the fan motor and air flow capacity remains the same, which should not have been the case. I bought the 88 litre model, satisfied with cooling, but the castor wheels are not strong enough for the weight of 88 litre filled water tank. Suggestion is to go for 75 litre instead of 88 litre variant."
21,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,5.0,Brilliant,very happy with this cooler ???????? it's giving fine cooling at less speed inside the house also... got very less price as compared to market price ????????????.. got with very good packing.... thanks flipcart....
24,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,4.0,Good quality product,"Value for money.Pros,1.Cooling effect  - gives better cooling2.Air delivery - strong and powerful fan3.Capacity - 88 litresCons.1.Noise - Fan noise and water dripping noise2.Material used - Looks like cheap plastic in some corners.3.Power cable - too small, really need an extension to use.Only for people who wants to sleep in silent place - Don't buy this."
27,"Crompton 75 L Desert Air Cooler??(White, Teal, ACGC-DAC751)",10499.0,5.0,Just wow!,"Flipkart delivered Crompton Desert Air Cooler 88 Litres well before the schedule date. Before buying I compared with Bajaj Desert Coolers, here Crompton seems to be much better based on the Fan speed and Quality. Water tank capacity of 88 Litres is much needed. Crompton gives Honey Comb Cooling pads for better cooling compared to Wood Wool. It cools the room efficiently which makes us much comfortable in summer of Chennai City."
